Name,Year,Rating,Overview,Movie Link,Review Link,Credit Link,Director(s),Writer(s),Cast,Genres
 Black Doves,2024– ,7.3 ,"Helen embarks on a passionate affair with a man who has no idea what her secret identity is. Caught in the crosshairs when her lover falls victim to the dangerous London underworld, Helen's employer's call in Sam to protect her.",https://www.imdb.com//title/tt27995113/,https://www.imdb.com//title/tt27995113/reviews,https://www.imdb.com//title/tt27995113/fullcredits,"Alex Gabassi, Lisa Gunning","Joe Barton, Joe Barton","Keira Knightley, Ben Whishaw, Sarah Lancashire","Spy, Action, Drama, Mystery, Thriller"
 Yellowstone,2018–2024,8.6 ,A ranching family in Montana faces off against others encroaching on their land.,https://www.imdb.com//title/tt4236770/,https://www.imdb.com//title/tt4236770/reviews,https://www.imdb.com//title/tt4236770/fullcredits,"Stephen Kay, Taylor Sheridan, Christina Alexandra Voros, Guy Ferland, John Dahl","John Linson, John Linson, Taylor Sheridan, Taylor Sheridan, Taylor Sheridan","Kevin Costner, Luke Grimes, Kelly Reilly","Contemporary Western, Epic, Western Epic, Drama, Western"
 The Day of the Jackal,2024– ,8.2 ,The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.,https://www.imdb.com//title/tt24053860/,https://www.imdb.com//title/tt24053860/reviews,https://www.imdb.com//title/tt24053860/fullcredits,"Brian Kirk, Paul Wilmshurst, Anu Menon, Anthony Philipson","Ronan Bennett, Ronan Bennett, Frederick Forsyth, Charles Cumming, Shyam Popat","Eddie Redmayne, Lashana Lynch, Eleanor Matsuura","Spy, Action, Crime, Drama, Thriller"
 Red One,2024,6.5 ,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",https://www.imdb.com//title/tt14948432/,https://www.imdb.com//title/tt14948432/reviews,https://www.imdb.com//title/tt14948432/fullcredits,Jake Kasdan,"Chris Morgan, nan, Hiram Garcia","Dwayne Johnson, Chris Evans, Lucy Liu","Holiday Comedy, Action, Adventure, Comedy, Fantasy, Holiday, Mystery"
 Wicked,2024,8.0 ,"Elphaba, a misunderstood young woman because of her green skin, and Glinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",https://www.imdb.com//title/tt1262426/,https://www.imdb.com//title/tt1262426/reviews,https://www.imdb.com//title/tt1262426/fullcredits,Jon M. Chu,"Winnie Holzman, Dana Fox, nan, Winnie Holzman, nan","Cynthia Erivo, Ariana Grande, Jeff Goldblum",
 Secret Level,2024– ,8.0 ,Original stories set within the worlds of iconic video games are featured in this animated anthology series.,https://www.imdb.com//title/tt33204697/,https://www.imdb.com//title/tt33204697/reviews,https://www.imdb.com//title/tt33204697/fullcredits,"Dave Wilson, Dominique Boidin, Léon Bérelle, Rémi Kozyra, Maxime Luère","Brooke Bolander, Heather Anne Campbell, Siobhán Carroll, K.D. Dávila, Philip Gelatt","Aleks Le, Nelson Lee, Fred Tatasciore","Adult Animation, Computer Animation, Action, Adventure, Animation, Fantasy, Sci-Fi"
 Landman,2024– ,8.3 ,A modern-day tale of fortune seeking in the world of West Texas oil rigs.,https://www.imdb.com//title/tt14186672/,https://www.imdb.com//title/tt14186672/reviews,https://www.imdb.com//title/tt14186672/fullcredits,"Stephen Kay, Michael Friedman, Taylor Sheridan","Taylor Sheridan, Taylor Sheridan, Christian Wallace","Billy Bob Thornton, Ali Larter, Jacob Lofland",Drama
 Pushpa: The Rule - Part 2,2024,6.7 ,Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police.,https://www.imdb.com//title/tt16539454/,https://www.imdb.com//title/tt16539454/reviews,https://www.imdb.com//title/tt16539454/fullcredits,Sukumar,"A.R. Prabhav, Sukumar, Srikanth Vissa","Allu Arjun, Rashmika Mandanna, Fahadh Faasil","Action Epic, One-Person Army Action, Action, Crime, Drama, Thriller"
 Lioness,2023– ,7.7 ,CIA operative Joe attempts to balance her personal and professional lives as the tip of the spear in the agency's war on terror.,https://www.imdb.com//title/tt13111078/,https://www.imdb.com//title/tt13111078/reviews,https://www.imdb.com//title/tt13111078/fullcredits,"John Hillcoat, Stephen Kay, Anthony Byrne, Paul Cameron, Michael Friedman","Taylor Sheridan, Taylor Sheridan, Taylor Sheridan, Taylor Sheridan, Tom Brady","Zoe Saldana, Laysla De Oliveira, Dave Annable","Spy, Action, Drama, Thriller"
 Arcane,2021–2024,9.1 ,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",https://www.imdb.com//title/tt11126994/,https://www.imdb.com//title/tt11126994/reviews,https://www.imdb.com//title/tt11126994/fullcredits,"Pascal Charrue, Arnaud Delord, Barth Maunoury, Marietta Ren, Christelle Abgrall","Mollie Bickley St. John, Ash Brannon, Ash Brannon, David Dunne, Kristina Felske","Kevin Alejandro, Hailee Steinfeld, Ella Purnell","Action Epic, Adult Animation, Computer Animation, Steampunk, Supernatural Fantasy, Action, Adventure, Animation, Drama, Fantasy"
 Kraven the Hunter,2024,5.5 ,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",https://www.imdb.com//title/tt8790086/,https://www.imdb.com//title/tt8790086/reviews,https://www.imdb.com//title/tt8790086/fullcredits,J.C. Chandor,"Richard Wenk, Art Marcum, Matt Holloway, nan, Richard Wenk","Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger","One-Person Army Action, Superhero, Action, Thriller"
 Skeleton Crew,2024– ,7.2 ,Four kids make a mysterious discovery on their home planet that leads them to get lost in a strange and dangerous galaxy.,https://www.imdb.com//title/tt20600980/,https://www.imdb.com//title/tt20600980/reviews,https://www.imdb.com//title/tt20600980/fullcredits,"Jon Watts, David Lowery, Bryce Dallas Howard, Daniel Kwan, Daniel Scheinert","Christopher Ford, Christopher Ford, George Lucas, Jon Watts, Jon Watts","Jude Law, Kyriana Kratter, Ryan Kiera Armstrong","Space Sci-Fi, Action, Adventure, Sci-Fi"
 Subservience,2024,5.3 ,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly.",https://www.imdb.com//title/tt24871974/,https://www.imdb.com//title/tt24871974/reviews,https://www.imdb.com//title/tt24871974/fullcredits,S.K. Dale,"Will Honley, April Maguire","Megan Fox, Michele Morrone, Madeline Zima","Artificial Intelligence, Sci-Fi, Thriller"
 Gladiator II,2024,6.9 ,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",https://www.imdb.com//title/tt9218128/,https://www.imdb.com//title/tt9218128/reviews,https://www.imdb.com//title/tt9218128/fullcredits,Ridley Scott,"David Scarpa, nan, Peter Craig, David Scarpa, nan","Paul Mescal, Denzel Washington, Pedro Pascal","Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama"
 Dune: Prophecy,2024– ,7.3 ,Two Harkonnen sisters combat forces that threaten the future of humankind and establish the fabled sect that will become known as the Bene Gesserit.,https://www.imdb.com//title/tt10466872/,https://www.imdb.com//title/tt10466872/reviews,https://www.imdb.com//title/tt10466872/fullcredits,"Anna Foerster, Richard J. Lewis, John Cameron","Diane Ademu-John, Diane Ademu-John, Kevin J. Anderson, Brian Herbert, Frank Herbert","Emily Watson, Olivia Williams, Shalom Brune-Franklin","Action Epic, Adventure Epic, Desert Adventure, Epic, Sci-Fi Epic, Action, Adventure, Drama, Sci-Fi"
 Carry-On,2024,6.6 ,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,https://www.imdb.com//title/tt21382296/,https://www.imdb.com//title/tt21382296/reviews,https://www.imdb.com//title/tt21382296/fullcredits,Jaume Collet-Serra,T.J. Fixman,"Taron Egerton, Jason Bateman, Sofia Carson","Action, Crime, Holiday, Mystery, Thriller"
 Silo,2023– ,8.1 ,Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,https://www.imdb.com//title/tt14688458/,https://www.imdb.com//title/tt14688458/reviews,https://www.imdb.com//title/tt14688458/fullcredits,"Amber Templemore, Adam Bernstein, Morten Tyldum, Bertie Ellwood, David Semel","Hugh Howey, Jeffery Wang, Jeffery Wang, Jeffery Wang, Graham Yost","Rebecca Ferguson, Common, Tim Robbins","Dystopian Sci-Fi, Psychological Drama, Drama, Mystery, Sci-Fi"
 Nosferatu,2024,,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",https://www.imdb.com//title/tt5040012/,https://www.imdb.com//title/tt5040012/reviews,https://www.imdb.com//title/tt5040012/fullcredits,Robert Eggers,"Robert Eggers, nan, Henrik Galeen, nan, Bram Stoker","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård","Dark Fantasy, Supernatural Horror, Vampire Horror, Fantasy, Horror, Mystery"
 Moana 2,2024,7.0 ,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",https://www.imdb.com//title/tt13622970/,https://www.imdb.com//title/tt13622970/reviews,https://www.imdb.com//title/tt13622970/fullcredits,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Jared Bush, Dana Ledoux Miller, nan, Jared Bush, Dana Ledoux Miller","""Aulii Cravalho"", Dwayne Johnson, Hualalai Chung","Computer Animation, Sea Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical"
 The Lord of the Rings: The War of the Rohirrim,2024,6.7 ,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",https://www.imdb.com//title/tt14824600/,https://www.imdb.com//title/tt14824600/reviews,https://www.imdb.com//title/tt14824600/fullcredits,Kenji Kamiyama,"Jeffrey Addiss, Will Matthews, Phoebe Gittins, Arty Papageorgiou, nan","Brian Cox, Gaia Wise, Miranda Otto","Adventure Epic, Dark Fantasy, Fantasy Epic, Sword & Sorcery, Action, Adventure, Animation, Drama, Fantasy"
 Heretic,2024,7.1 ,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,https://www.imdb.com//title/tt28015403/,https://www.imdb.com//title/tt28015403/reviews,https://www.imdb.com//title/tt28015403/fullcredits,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East","Psychological Horror, Psychological Thriller, Horror, Thriller"
 The Substance,2024,7.4 ,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",https://www.imdb.com//title/tt17526714/,https://www.imdb.com//title/tt17526714/reviews,https://www.imdb.com//title/tt17526714/fullcredits,Coralie Fargeat,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid","Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Drama, Horror, Sci-Fi"
 28 Days Later,2002,7.5 ,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.",https://www.imdb.com//title/tt0289043/,https://www.imdb.com//title/tt0289043/reviews,https://www.imdb.com//title/tt0289043/fullcredits,Danny Boyle,Alex Garland,"Alex Palmer, Bindu De Stoppani, Jukka Hiltunen","Disaster, Dystopian Sci-Fi, Road Trip, Sci-Fi Epic, Zombie Horror, Drama, Horror, Sci-Fi, Thriller"
 The Madness,2024,6.4 ,Media pundit Muncie Daniels must fight for his innocence and his life after he stumbles upon a murder deep in the Poconos.,https://www.imdb.com//title/tt26676489/,https://www.imdb.com//title/tt26676489/reviews,https://www.imdb.com//title/tt26676489/fullcredits,"Clement Virgo, Jessica Lowrey, Quyen Tran","Stephen Belber, Stephen Belber, Jeanine Daniels, Jeanine Daniels, Liz Ellis","Colman Domingo, Marsha Stephanie Blake, John Ortiz","Conspiracy Thriller, Crime, Drama, Thriller"
 A Man on the Inside,2024– ,7.8 ,"Charles, a retired man, gets a new lease on life when he answers an ad from a private investigator and becomes a mole in a secret investigation in a nursing home.",https://www.imdb.com//title/tt26670955/,https://www.imdb.com//title/tt26670955/reviews,https://www.imdb.com//title/tt26670955/fullcredits,"Rebecca Asher, Morgan Sackett, Michael Schur, Anu Valia","Maite Alberdi, Sylvia Batey Alcalá, Lisa Muse Bryant, Emalee Burditt, Emalee Burditt","Ted Danson, Mary Elizabeth Ellis, Lilah Richcreek Estrada","Comedy, Crime"
